Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,enrichr
POU2F2 (human),11/2792,0.13688993750504425,1,0,0,1.4326647564469914,2.8489656904139555,EPHB6;METTL2B;TMCO6;TMLHE;IL25;APC;ARHGAP19;CGGBP1;MYO16;C1QL1;ENOX1,TRANSFAC and JASPAR PWMs
NFYA (human),10/2549,0.1559594367273471,1,0,0,1.4265844002995827,2.65082110848812,ZNF174;IL25;UGT1A1;GOSR1;NDUFA2;UGT1A9;GFRA2;UGT1A8;MYO16;ZNF365,TRANSFAC and JASPAR PWMs
THRA (human),2/271,0.17092080138368784,1,0,0,2.6836632002683665,4.740838589921423,ZNF174;REPS2,TRANSFAC and JASPAR PWMs
HMGA1 (human),6/1379,0.17651645327849613,1,0,0,1.5821741710066584,2.7440298301725035,INPP4A;TMCO6;KLK5;ZCCHC4;UGT1A8;TTC39A,TRANSFAC and JASPAR PWMs
JUND (human),6/1380,0.17692593942109278,1,0,0,1.58102766798419,2.7383779530762142,METTL2B;APC;SIRT4;MAGEB2;CASC1;MYO16,TRANSFAC and JASPAR PWMs
SMAD3 (mouse),1/72,0.18014313823583566,1,0,0,5.05050505050505,8.65658349335603,IL25,TRANSFAC and JASPAR PWMs
BCL6 (human),6/1399,0.18478276432557064,1,0,0,1.5595555266748977,2.633425523312515,TMCO6;TMLHE;UGT1A1;UGT1A9;GFRA2;MYO16,TRANSFAC and JASPAR PWMs
LEF1 (human),16/4658,0.1928973460772139,1,0,0,1.2490729536672003,2.0554708517133324,EPHB6;CCDC121;IL25;ARHGAP19;MYO16;TTC39A;NUDT4;INPP4A;TMCO6;MFNG;MAGEB2;PLXNA2;UGT1A9;UGT1A8;CGGBP1;ZNF365,TRANSFAC and JASPAR PWMs
NCOA1 (human),1/79,0.19585418309189603,1,0,0,4.602991944764097,7.504648379502374,KLK5,TRANSFAC and JASPAR PWMs
GATA6 (human),6/1447,0.20525202996601968,1,0,0,1.5078218257209275,2.387660951917786,EPHB6;UGT1A1;GOSR1;ARHGAP19;CASC1;ZNF365,TRANSFAC and JASPAR PWMs
MIB2 (human),6/1490,0.2242870250262192,1,0,0,1.4643075045759613,2.1888888624471914,ANKRD26;SLC34A1;MFNG;NDUFA2;MAGEB2;PLAGL2,TRANSFAC and JASPAR PWMs
MAPK14 (human),5/1190,0.2280423085226388,1,0,0,1.5278838808250572,2.258554780056112,EPHB6;METTL2B;ANKRD26;APC;GOSR1,TRANSFAC and JASPAR PWMs
NR5A2 (human),13/3815,0.23923961022762272,1,0,0,1.2391278446324319,1.7723117634440144,ANKRD26;ZNF174;UGT1A1;SLC34A1;NDUFA2;SIRT4;CASC1;TTC39A;NUDT4;APC;MFNG;MAGEB2;PLAGL2,TRANSFAC and JASPAR PWMs
TP53 (human),10/2866,0.2573495161878894,1,0,0,1.2687940112922669,1.722159655982054,CCDC121;TMLHE;APC;SCGB1D2;GOSR1;NDUFA2;REPS2;KIF2C;ZCCHC4;GFRA2,TRANSFAC and JASPAR PWMs
GABPA (human),1/108,0.257853055534351,1,0,0,3.367003367003367,4.56351989397111,NDUFA2,TRANSFAC and JASPAR PWMs
Hand1::Tcfe2a (mouse),1/110,0.26195144837135037,1,0,0,3.3057851239669422,4.428416872572166,NUDT4,TRANSFAC and JASPAR PWMs
PPARG (human),12/3580,0.2717916604632656,1,0,0,1.2188928390045708,1.5878754214623751,INPP4A;CORT;ANKRD26;UGT1A1;MFNG;NDUFA2;SIRT4;REPS2;KIF2C;TTC39A;ZNF365;ENOX1,TRANSFAC and JASPAR PWMs
NFATC3 (human),1/116,0.27411375842977564,1,0,0,3.134796238244514,4.057091166160127,OIP5,TRANSFAC and JASPAR PWMs
JUN (human),10/2976,0.297316261782118,1,0,0,1.2218963831867058,1.4821100345180418,ANKRD26;TMLHE;SCGB1D2;NDUFA2;SIRT4;MAGEB2;KIF2C;UGT1A9;MYO16;ZNF365,TRANSFAC and JASPAR PWMs
CRTC3 (human),4/1008,0.30037166605046656,1,0,0,1.443001443001443,1.7355478849611825,EPHB6;IK;ANKRD26;CCDC7,TRANSFAC and JASPAR PWMs
IKZF1 (mouse),6/1674,0.31154834791987135,1,0,0,1.3033561420658195,1.5199749009877084,EPHB6;INPP4A;CCDC121;CCDC7;SIRT4;GFRA2,TRANSFAC and JASPAR PWMs
NRF1 (mouse),6/1676,0.31253589521776065,1,0,0,1.3018008244738557,1.5140411608226831,APC;MFNG;SIRT4;OIP5;KIF2C;ENOX1,TRANSFAC and JASPAR PWMs
RORB (human),4/1035,0.31732299985315,1,0,0,1.4053579270970575,1.6131191523963897,ZNF174;SCGB1D2;REPS2;ZNF365,TRANSFAC and JASPAR PWMs
HINFP (human),10/3047,0.3240564329541684,1,0,0,1.1934242324790405,1.3447953009782236,ANKRD26;UGT1A1;GFRA2;UGT1A8;MYO16;TTC39A;NUDT4;ZNF365;C1QL1;ENOX1,TRANSFAC and JASPAR PWMs
NFAT2 (human),5/1376,0.32735894078243705,1,0,0,1.3213530655391121,1.4755523676788889,METTL2B;TMLHE;GOSR1;UGT1A9;CASC1,TRANSFAC and JASPAR PWMs
E2F1 (mouse),10/3056,0.32749012914105763,1,0,0,1.1899095668729178,1.3282929133607273,INPP4A;IL25;NDUFA2;CCDC7;SIRT4;MAGEB2;PLXNA2;HIST1H4I;GFRA2;C1QL1,TRANSFAC and JASPAR PWMs
RARA (human),5/1379,0.32901739825665843,1,0,0,1.3184784758388821,1.4656795403466256,INPP4A;CORT;ANKRD26;REPS2;OIP5,TRANSFAC and JASPAR PWMs
NR2F1 (human),4/1073,0.34133573939246664,1,0,0,1.3555875624841143,1.457105770498037,ZNF174;SCGB1D2;REPS2;ZNF365,TRANSFAC and JASPAR PWMs
MEF2A (human),9/2800,0.3620293898129933,1,0,0,1.1688311688311688,1.1875673958582482,INPP4A;ZNF174;TMLHE;SIRT4;UGT1A9;ZCCHC4;CASC1;UGT1A8;ZNF365,TRANSFAC and JASPAR PWMs
PGR (human),5/1447,0.3668346106589455,1,0,0,1.256518188100773,1.260091957852898,TMLHE;IL25;SCGB1D2;MAGEB2;UGT1A9,TRANSFAC and JASPAR PWMs
PITX1 (human),5/1448,0.3673929859131683,1,0,0,1.2556504269211453,1.2573119004630613,NDUFA2;SIRT4;ARHGAP19;CASC1;ZNF365,TRANSFAC and JASPAR PWMs
NR1H2 (human),2/479,0.380770417493428,1,0,0,1.5183146707155057,1.4660218853465745,OIP5;ENOX1,TRANSFAC and JASPAR PWMs
SND1 (human),5/1473,0.38136165290780766,1,0,0,1.234339319879035,1.1899119099544617,IL25;UGT1A1;GOSR1;NDUFA2;ZNF365,TRANSFAC and JASPAR PWMs
FOXJ1 (human),5/1484,0.38751076923146827,1,0,0,1.2251899044351875,1.1614942894019045,ANKRD26;APC;SIRT4;OIP5;ENOX1,TRANSFAC and JASPAR PWMs
ATF2 (human),5/1517,0.40595032060813885,1,0,0,1.1985377839036375,1.0805111642614154,IL25;MFNG;NDUFA2;ARHGAP19;PLAGL2,TRANSFAC and JASPAR PWMs
CREB1 (mouse),3/849,0.4151622544570974,1,0,0,1.28493414712496,1.1295674404968514,IK;NDUFA2;UGT1A5,TRANSFAC and JASPAR PWMs
IRF8 (human),5/1550,0.4243483155776252,1,0,0,1.1730205278592376,1.0055139730111058,IK;ZNF174;GOSR1;CCDC7;ENOX1,TRANSFAC and JASPAR PWMs
USF1 (mouse),4/1219,0.43367115976727577,1,0,0,1.1932284286673132,0.9969050380699386,APC;CCDC7;SIRT4;UGT1A5,TRANSFAC and JASPAR PWMs
ZBTB16 (human),5/1572,0.4365722576257003,1,0,0,1.1566042100393246,0.9585951639383464,TMLHE;MAGEB2;UGT1A9;CASC1;CGGBP1,TRANSFAC and JASPAR PWMs
NFIC (human),13/4403,0.43744549530056226,1,0,0,1.073648132471662,0.8876956720007425,CCDC121;IL25;UGT1A1;NDUFA2;SIRT4;GFRA2;MYO16;TTC39A;MFNG;UGT1A9;UGT1A8;CGGBP1;ZNF365,TRANSFAC and JASPAR PWMs
EIF4EBP1 (human),1/212,0.4439559193719467,1,0,0,1.7152658662092626,1.3928473450641174,ENOX1,TRANSFAC and JASPAR PWMs
HIF1A (human),5/1586,0.4443281441902153,1,0,0,1.14639458901754,0.9299460346570798,CORT;ZNF174;KLK5;REPS2;ZCCHC4,TRANSFAC and JASPAR PWMs
FOXI1 (human),1/217,0.45164135653026166,1,0,0,1.6757436112274824,1.3319930843887071,ANKRD26,TRANSFAC and JASPAR PWMs
HIVEP1 (human),1/218,0.45316588074296943,1,0,0,1.6680567139282738,1.3202619480768099,ZNF365,TRANSFAC and JASPAR PWMs
NFE2 (human),8/2681,0.4605575283110557,1,0,0,1.085076803092469,0.8412790400677533,CORT;MFNG;GOSR1;MAGEB2;ARHGAP19;PLAGL2;KIF2C;ZNF365,TRANSFAC and JASPAR PWMs
SRF (human),10/3420,0.47066592916320926,1,0,0,1.063264221158958,0.8012830585135337,EPHB6;UGT1A1;NDUFA2;MAGEB2;UGT1A9;UGT1A8;CGGBP1;MYO16;TTC39A;ZNF365,TRANSFAC and JASPAR PWMs
SPI1 (human),5/1638,0.4729317819682515,1,0,0,1.11000111000111,0.8311734099901333,EPHB6;TMCO6;KLK5;GFRA2;C1QL1,TRANSFAC and JASPAR PWMs
GTF2I (human),1/237,0.4813537115207663,1,0,0,1.5343306482546988,1.1218303216557854,IK,TRANSFAC and JASPAR PWMs
TBX5 (mouse),5/1663,0.4865430273643731,1,0,0,1.0933143825507026,0.7876564134759348,TMCO6;NDUFA2;REPS2;CASC1;C1QL1,TRANSFAC and JASPAR PWMs
STAT1 (human),5/1667,0.48871102315402837,1,0,0,1.0906909527185473,0.7809171826198971,EPHB6;TMLHE;IL25;SLC34A1;ENOX1,TRANSFAC and JASPAR PWMs
MYOD1 (mouse),5/1672,0.49141700680756145,1,0,0,1.087429317094389,0.7725774365005825,INPP4A;CCL25;MFNG;SIRT4;TTC39A,TRANSFAC and JASPAR PWMs
MYOG (mouse),5/1675,0.4930384193243803,1,0,0,1.085481682496608,0.7676181040018976,MAGEB2;ARHGAP19;KLK5;UGT1A5;UGT1A9,TRANSFAC and JASPAR PWMs
ETS1 (mouse),5/1681,0.49627624473745485,1,0,0,1.0816072684008438,0.7577984557442461,GOSR1;CCDC7;TTC39A;NUDT4;C1QL1,TRANSFAC and JASPAR PWMs
TCF4 (human),12/4210,0.4973823586108171,1,0,0,1.0364931980133882,0.723882926831861,EPHB6;IL25;SCGB1D2;MFNG;GOSR1;CCDC7;MAGEB2;ARHGAP19;OIP5;UGT1A9;TTC39A;ZNF365,TRANSFAC and JASPAR PWMs
TFAP2D (human),4/1324,0.4982669434872374,1,0,0,1.0985992859104643,0.7653054814303377,INPP4A;CCDC121;ZCCHC4;ENOX1,TRANSFAC and JASPAR PWMs
RUNX1 (human),11/3857,0.5004641784933792,1,0,0,1.0370754472387866,0.7178835926678967,ANKRD26;TMCO6;IL25;UGT1A1;MFNG;CCDC7;REPS2;UGT1A9;UGT1A8;MYO16;ENOX1,TRANSFAC and JASPAR PWMs
YY1 (mouse),5/1700,0.5064836578905108,1,0,0,1.0695187165775402,0.7275542466211734,INPP4A;UGT1A1;APC;CCDC7;TTC39A,TRANSFAC and JASPAR PWMs
NKX2-8 (human),1/256,0.5081136055018919,1,0,0,1.4204545454545456,0.9617190675113919,ENOX1,TRANSFAC and JASPAR PWMs
FOXA1 (mouse),5/1705,0.509157816129029,1,0,0,1.0663822980538524,0.7198051283962155,CCL25;SIRT4;ARHGAP19;REPS2;KIF2C,TRANSFAC and JASPAR PWMs
FOS (mouse),5/1708,0.510759829682823,1,0,0,1.0645092612305729,0.7151967211880383,UGT1A1;SLC34A1;CCDC7;UGT1A5;TTC39A,TRANSFAC and JASPAR PWMs
PITX2 (human),10/3528,0.5131555775432491,1,0,0,1.0307153164296021,0.6876687381195888,CORT;ANKRD26;APC;NDUFA2;MAGEB2;KLK5;OIP5;TTC39A;NUDT4;ZNF365,TRANSFAC and JASPAR PWMs
TEAD4 (human),4/1354,0.5162090297532648,1,0,0,1.0742580905062442,0.7103461787124172,MFNG;REPS2;GFRA2;C1QL1,TRANSFAC and JASPAR PWMs
ATF1 (human),1/264,0.518971015362471,1,0,0,1.3774104683195594,0.9034535047679788,MYO16,TRANSFAC and JASPAR PWMs
SREBF1 (mouse),5/1735,0.5250907822264715,1,0,0,1.047943411055803,0.6750684965287777,IL25;UGT1A1;MAGEB2;UGT1A5;UGT1A9,TRANSFAC and JASPAR PWMs
PPARA (human),1/271,0.5282779803343319,1,0,0,1.3418316001341832,0.8562665627786823,UGT1A9,TRANSFAC and JASPAR PWMs
NR5A2 (mouse),5/1748,0.5319322908052886,1,0,0,1.0401497815685459,0.6565831814674102,INPP4A;GOSR1;CCDC7;KLK5;C1QL1,TRANSFAC and JASPAR PWMs
REL (mouse),5/1752,0.5340293699226059,1,0,0,1.03777501037775,0.6510008734737563,TMCO6;IL25;REPS2;NUDT4;C1QL1,TRANSFAC and JASPAR PWMs
NR1H3 (human),4/1385,0.5344568358969857,1,0,0,1.0502133245815557,0.6579631719774703,INPP4A;IK;REPS2;ENOX1,TRANSFAC and JASPAR PWMs
MZF1 (human),4/1389,0.5367884234702012,1,0,0,1.0471889521565547,0.6515099253854646,KIF2C;GFRA2;MYO16;NUDT4,TRANSFAC and JASPAR PWMs
RORB (mouse),3/1020,0.5370113109835032,1,0,0,1.0695187165775402,0.6649584186215073,SIRT4;OIP5;CASC1,TRANSFAC and JASPAR PWMs
NR2F1 (mouse),3/1021,0.5376846668922303,1,0,0,1.0684711957973467,0.6629682254558815,SIRT4;OIP5;CASC1,TRANSFAC and JASPAR PWMs
HNF4A (human),6/2127,0.5378791198368267,1,0,0,1.025772534940377,0.6361035295641202,IL25;UGT1A1;MFNG;MAGEB2;UGT1A9;CGGBP1,TRANSFAC and JASPAR PWMs
POU2F1 (human),4/1399,0.542593565939155,1,0,0,1.0397036844499319,0.6356693603605956,IL25;UGT1A1;MYO16;C1QL1,TRANSFAC and JASPAR PWMs
IRF8 (mouse),5/1770,0.5434181232237315,1,0,0,1.0272213662044172,0.6264778952354935,INPP4A;IK;IL25;APC;NDUFA2,TRANSFAC and JASPAR PWMs
CREM (human),2/662,0.547631733850228,1,0,0,1.0985992859104643,0.6615240169857337,ANKRD26;TMCO6,TRANSFAC and JASPAR PWMs
POU1F1 (human),4/1408,0.5477885819904044,1,0,0,1.0330578512396695,0.6217622580179716,INPP4A;TMLHE;APC;TTC39A,TRANSFAC and JASPAR PWMs
RXRA (human),4/1422,0.5558126267314158,1,0,0,1.022887098836466,0.6007661872509509,INPP4A;OIP5;UGT1A9;UGT1A8,TRANSFAC and JASPAR PWMs
SNAI2 (human),4/1428,0.5592298071805765,1,0,0,1.0185892538833716,0.5919987636642977,CCL25;CORT;IL25;MFNG,TRANSFAC and JASPAR PWMs
SNAI1 (human),4/1428,0.5592298071805765,1,0,0,1.0185892538833716,0.5919987636642977,CCL25;CORT;IL25;MFNG,TRANSFAC and JASPAR PWMs
TCF3 (human),4/1428,0.5592298071805765,1,0,0,1.0185892538833716,0.5919987636642977,CCL25;CORT;IL25;MFNG,TRANSFAC and JASPAR PWMs
EGR1 (human),2/681,0.5631473155102593,1,0,0,1.0679482045120812,0.613230835314442,GFRA2;NUDT4,TRANSFAC and JASPAR PWMs
TP63 (human),4/1443,0.567714534749715,1,0,0,1.008001008001008,0.5706662294588009,TMCO6;APC;NDUFA2;OIP5,TRANSFAC and JASPAR PWMs
KLF13 (human),4/1453,0.5733239568531185,1,0,0,1.0010636301069886,0.5568960543601952,CCL25;MFNG;KLK5;ZNF365,TRANSFAC and JASPAR PWMs
FOXA1 (human),4/1457,0.5755570112902876,1,0,0,0.9983153428589255,0.5514863585691016,INPP4A;METTL2B;SIRT4;ARHGAP19,TRANSFAC and JASPAR PWMs
PRDM1 (human),4/1468,0.5816659229062402,1,0,0,0.9908347783007184,0.5368927537139034,INPP4A;CCL25;TMLHE;GOSR1,TRANSFAC and JASPAR PWMs
MZF1 5-13 (human),1/316,0.5840251969285896,1,0,0,1.1507479861910241,0.6188850997226468,ANKRD26,TRANSFAC and JASPAR PWMs
CEBPD (human),4/1495,0.5964574891042884,1,0,0,0.972940103374886,0.5027641784878933,ANKRD26;ARHGAP19;OIP5;ZNF365,TRANSFAC and JASPAR PWMs
ELK1 (human),4/1511,0.6050833921911423,1,0,0,0.9626376270982493,0.4836185472524244,ZNF174;TMLHE;APC;SCGB1D2,TRANSFAC and JASPAR PWMs
SMARCA2 (human),4/1536,0.6183479394157458,1,0,0,0.946969696969697,0.45521209393094236,IL25;UGT1A1;APC;GFRA2,TRANSFAC and JASPAR PWMs
REL (human),1/353,0.6249715325090713,1,0,0,1.0301313417460727,0.4842123906964331,CGGBP1,TRANSFAC and JASPAR PWMs
STAT3 (human),7/2759,0.6499313633833426,1,0,0,0.9226004151701869,0.3975379241806772,UGT1A1;ARHGAP19;KIF2C;UGT1A9;ZCCHC4;TTC39A;ENOX1,TRANSFAC and JASPAR PWMs
TFAP2A (mouse),4/1663,0.6815132996030062,1,0,0,0.8746515060405621,0.33537594738487525,APC;MFNG;GOSR1;GFRA2,TRANSFAC and JASPAR PWMs
TBP (human),6/2486,0.6946198395131452,1,0,0,0.8776420683098076,0.3198044993015154,TMLHE;UGT1A1;UGT1A9;ZCCHC4;UGT1A8;TTC39A,TRANSFAC and JASPAR PWMs
GATA3 (human),6/2505,0.7019128200686707,1,0,0,0.8709853021230267,0.30828182524085157,APC;SCGB1D2;ARHGAP19;KLK5;UGT1A5;MYO16,TRANSFAC and JASPAR PWMs
Pdx1 (mouse),2/907,0.7190536809981117,1,0,0,0.801844241756039,0.264463677186253,EPHB6;INPP4A,TRANSFAC and JASPAR PWMs
NFYB (mouse),4/1748,0.7196872554675849,1,0,0,0.8321198252548367,0.27371627105722224,IL25;UGT1A1;MAGEB2;UGT1A9,TRANSFAC and JASPAR PWMs
NFYA (mouse),4/1748,0.7196872554675849,1,0,0,0.8321198252548367,0.27371627105722224,IL25;UGT1A1;MAGEB2;UGT1A9,TRANSFAC and JASPAR PWMs
CPEB1 (mouse),4/1748,0.7196872554675849,1,0,0,0.8321198252548367,0.27371627105722224,IL25;UGT1A1;MAGEB2;UGT1A9,TRANSFAC and JASPAR PWMs
RUNX2 (mouse),4/1750,0.7205451533714102,1,0,0,0.8311688311688313,0.27241325382719705,SLC34A1;CCDC7;HIST1H4I;UGT1A9,TRANSFAC and JASPAR PWMs
ETS2 (human),3/1341,0.7228171217382054,1,0,0,0.8135041692088673,0.2640626662379079,EPHB6;CCDC121;TMCO6,TRANSFAC and JASPAR PWMs
FOXF1 (human),3/1352,0.7280509414733022,1,0,0,0.8068854222700377,0.25609273158874385,INPP4A;METTL2B;MYO16,TRANSFAC and JASPAR PWMs
SRY (human),1/469,0.7293410230457164,1,0,0,0.7753440589261485,0.24470933179502036,EPHB6,TRANSFAC and JASPAR PWMs
MIR138 (human),3/1356,0.7299355399179042,1,0,0,0.8045052292839904,0.25325748207629023,MFNG;CCDC7;TTC39A,TRANSFAC and JASPAR PWMs
CBEPA (human),3/1366,0.7346037489048292,1,0,0,0.7986157327299348,0.24631229251815467,EPHB6;MFNG;CGGBP1,TRANSFAC and JASPAR PWMs
CBEPB (human),6/2598,0.7359973273965572,1,0,0,0.8398068444257821,0.2574249771274672,EPHB6;APC;ARHGAP19;MYO16;TTC39A;ZNF365,TRANSFAC and JASPAR PWMs
APEX1 (human),3/1373,0.7378348025706232,1,0,0,0.7945441303052374,0.24156948224370858,ANKRD26;ARHGAP19;PLAGL2,TRANSFAC and JASPAR PWMs
IKZF1 (human),3/1373,0.7378348025706232,1,0,0,0.7945441303052374,0.24156948224370858,CCL25;CORT;SIRT4,TRANSFAC and JASPAR PWMs
PURA (human),1/492,0.7463480144363106,1,0,0,0.73909830007391,0.2162330231129277,CGGBP1,TRANSFAC and JASPAR PWMs
En1 (mouse),2/957,0.7466443169101284,1,0,0,0.7599506032107914,0.2220319984487912,SLC34A1;KLK5,TRANSFAC and JASPAR PWMs
MYOG (human),3/1404,0.7517830552447825,1,0,0,0.7770007770007771,0.22168413909839058,ANKRD26;REPS2;TTC39A,TRANSFAC and JASPAR PWMs
MYB (human),3/1409,0.753978034150501,1,0,0,0.7742434995806181,0.21864020426473674,CCDC7;MYO16;TTC39A,TRANSFAC and JASPAR PWMs
IRF2 (human),3/1412,0.7552877714228005,1,0,0,0.7725985063095546,0.21683475262802326,CORT;SIRT4;ARHGAP19,TRANSFAC and JASPAR PWMs
RXRA (mouse),1/507,0.7568695462913064,1,0,0,0.7172314864622558,0.19979513735797713,CORT,TRANSFAC and JASPAR PWMs
CEBPB (human),3/1420,0.7587538980333619,1,0,0,0.7682458386683738,0.21209562036923543,TMLHE;CGGBP1;MYO16,TRANSFAC and JASPAR PWMs
NFKB1 (human),8/3497,0.7688676177909056,1,0,0,0.8318818727740662,0.2186488972362824,CORT;IL25;MFNG;NDUFA2;PLXNA2;OIP5;KIF2C;GFRA2,TRANSFAC and JASPAR PWMs
KLF5 (human),3/1445,0.7693387583262358,1,0,0,0.7549543881723814,0.19796707530409732,CCL25;REPS2;ZNF365,TRANSFAC and JASPAR PWMs
REPIN1 (human),3/1466,0.7779442559391477,1,0,0,0.7441398983008806,0.18685383194933616,PLXNA2;PLAGL2;OIP5,TRANSFAC and JASPAR PWMs
NR5A1 (mouse),2/1020,0.7781490983679996,1,0,0,0.7130124777183601,0.1788500035781949,GOSR1;KLK5,TRANSFAC and JASPAR PWMs
RELB (human),3/1469,0.7791525381528468,1,0,0,0.7426202116467603,0.18531971496040706,CCL25;OIP5;GFRA2,TRANSFAC and JASPAR PWMs
Myb (mouse),4/1902,0.7803560304313517,1,0,0,0.7647452442405124,0.18966065513340252,MFNG;CCDC7;CGGBP1;MYO16,TRANSFAC and JASPAR PWMs
CREB1 (human),6/2749,0.7855538177233797,1,0,0,0.7936770395846423,0.1915668981092018,IK;UGT1A1;SCGB1D2;NDUFA2;ARHGAP19;ZCCHC4,TRANSFAC and JASPAR PWMs
ELF5 (mouse),1/556,0.7883406994929107,1,0,0,0.6540222367560498,0.15554278796744975,CCL25,TRANSFAC and JASPAR PWMs
ZFHX3 (human),3/1504,0.7928652361321505,1,0,0,0.7253384912959381,0.1683525243821263,CORT;NDUFA2;REPS2,TRANSFAC and JASPAR PWMs
