GSM362947 	Liver Tumor Tissue LCS-005A
GSM363038 	Liver Tumor Tissue LCS-104A
GSM363039 	Liver Tumor Tissue LCS-272A
GSM363040 	Liver Non-Tumor Tissue LCS-132B
GSM363041 	Liver Non-Tumor Tissue LCS-205B
GSM363042 	Liver Non-Tumor Tissue LCS-274B
GSM363043 	Liver Non-Tumor Tissue LCS-159B
GSM363044 	Liver Non-Tumor Tissue LCS-227B
GSM363045 	Liver Non-Tumor Tissue LCS-046B
GSM363046 	Liver Non-Tumor Tissue LCS-283B
GSM363047 	Liver Non-Tumor Tissue LCS-272B
GSM363048 	Liver Tumor Tissue LCS-237A
GSM363049 	Liver Tumor Tissue LCS-152A
GSM363050 	Liver Tumor Tissue LCS-067A
GSM363051 	Liver Tumor Tissue LCS-209A
GSM363052 	Liver Tumor Tissue LCS-065A
GSM363053 	Liver Tumor Tissue LCS-211A
GSM363054 	Liver Tumor Tissue LCS-073A
GSM363055 	Liver Tumor Tissue LCS-230A
GSM363056 	Liver Tumor Tissue LCS-262A
GSM363057 	Liver Tumor Tissue LCS-144A
GSM363058 	Liver Non-Tumor Tissue LCS-158B
GSM363059 	Liver Non-Tumor Tissue LCS-237B
GSM363060 	Liver Non-Tumor Tissue LCS-152B
GSM363061 	Liver Non-Tumor Tissue LCS-067B
GSM363062 	Liver Non-Tumor Tissue LCS-209B
GSM363063 	Liver Non-Tumor Tissue LCS-065B
GSM363064 	Liver Non-Tumor Tissue LCS-211B
GSM363065 	Liver Non-Tumor Tissue LCS-073B
GSM363066 	Liver Non-Tumor Tissue LCS-230B
GSM363067 	Liver Non-Tumor Tissue LCS-262B
GSM363068 	Liver Non-Tumor Tissue LCS-144B
GSM363069 	Liver Tumor Tissue LCS-024A
GSM363070 	Liver Tumor Tissue LCS-212A
GSM363071 	Liver Tumor Tissue LCS-180A
GSM363072 	Liver Tumor Tissue LCS-183A
GSM363073 	Liver Tumor Tissue LCS-153A
GSM363074 	Liver Tumor Tissue LCS-042A
GSM363075 	Liver Tumor Tissue LCS-018A
GSM363076 	Liver Tumor Tissue LCS-062A
GSM363077 	Liver Tumor Tissue LCS-275A
GSM363078 	Liver Tumor Tissue LCS-015A
GSM363079 	Liver Tumor Tissue LCS-118A
GSM363080 	Liver Tumor Tissue LCS-069A
GSM363081 	Liver Tumor Tissue LCS-234A
GSM363082 	Liver Tumor Tissue LCS-210A
GSM363083 	Liver Tumor Tissue LCS-265A
GSM363084 	Liver Tumor Tissue LCS-149A
GSM363085 	Liver Tumor Tissue LCS-040A
GSM363086 	Liver Tumor Tissue LCS-169A
GSM363087 	Liver Tumor Tissue LCS-256A
GSM363088 	Liver Non-Tumor Tissue LCS-015B
GSM363089 	Liver Non-Tumor Tissue LCS-190B
GSM363090 	Liver Non-Tumor Tissue LCS-118B
GSM363091 	Liver Non-Tumor Tissue LCS-069B
GSM363092 	Liver Non-Tumor Tissue LCS-234B
GSM363093 	Liver Non-Tumor Tissue LCS-210B
GSM363094 	Liver Non-Tumor Tissue LCS-265B
GSM363095 	Liver Non-Tumor Tissue LCS-149B
GSM363096 	Liver Non-Tumor Tissue LCS-040B
GSM363097 	Liver Non-Tumor Tissue LCS-169B
GSM363098 	Liver Tumor Tissue LCS-213A
GSM363099 	Liver Tumor Tissue LCS-033A
GSM363100 	Liver Tumor Tissue LCS-164A
GSM363101 	Liver Tumor Tissue LCS-223A
GSM363102 	Liver Tumor Tissue LCS-245A
GSM363103 	Liver Non-Tumor Tissue LCS-281B
GSM363104 	Liver Tumor Tissue LCS-061A
GSM363105 	Liver Tumor Tissue LCS-191A
GSM363106 	Liver Tumor Tissue LCS-171A
GSM363107 	Liver Tumor Tissue LCS-249A
GSM363108 	Liver Tumor Tissue LCS-020A
GSM363109 	Liver Tumor Tissue LCS-045A
GSM363110 	Liver Non-Tumor Tissue LCS-213B
GSM363111 	Liver Non-Tumor Tissue LCS-033B
GSM363112 	Liver Non-Tumor Tissue LCS-164B
GSM363113 	Liver Non-Tumor Tissue LCS-245B
GSM363114 	Liver Non-Tumor Tissue LCS-094B
GSM363115 	Liver Tumor Tissue LCS-094A
GSM363116 	Liver Non-Tumor Tissue LCS-191B
GSM363117 	Liver Non-Tumor Tissue LCS-171B
GSM363118 	Liver Non-Tumor Tissue LCS-249B
GSM363119 	Liver Non-Tumor Tissue LCS-020B
GSM363120 	Liver Non-Tumor Tissue LCS-045B
GSM363121 	Liver Tumor Tissue LCS-131A
GSM363122 	Liver Tumor Tissue LCS-241A
GSM363123 	Liver Tumor Tissue LCS-057A
GSM363124 	Liver Tumor Tissue LCS-074A
GSM363125 	Liver Tumor Tissue LCS-160A
GSM363126 	Liver Tumor Tissue LCS-179A
GSM363127 	Liver Tumor Tissue LCS-134A
GSM363128 	Liver Tumor Tissue LCS-009A
GSM363129 	Liver Tumor Tissue LCS-224A
GSM363130 	Liver Tumor Tissue LCS-078A
GSM363131 	Liver Non-Tumor Tissue LCS-131B
GSM363132 	Liver Non-Tumor Tissue LCS-201B
GSM363133 	Liver Non-Tumor Tissue LCS-057B
GSM363134 	Liver Non-Tumor Tissue LCS-074B
GSM363135 	Liver Non-Tumor Tissue LCS-160B
GSM363136 	Liver Non-Tumor Tissue LCS-179B
GSM363137 	Liver Non-Tumor Tissue LCS-134B
GSM363138 	Liver Non-Tumor Tissue LCS-009B
GSM363139 	Liver Non-Tumor Tissue LCS-147B
GSM363140 	Liver Non-Tumor Tissue LCS-224B
GSM363141 	Liver Non-Tumor Tissue LCS-078B
GSM363142 	Liver Tumor Tissue LCS-093A
GSM363143 	Liver Tumor Tissue LCS-253A
GSM363144 	Liver Tumor Tissue LCS-279A
GSM363145 	Liver Tumor Tissue LCS-008A
GSM363146 	Liver Tumor Tissue LCS-049A
GSM363147 	Liver Tumor Tissue LCS-291A
GSM363148 	Liver Tumor Tissue LCS-281A
GSM363149 	Liver Tumor Tissue LCS-156A
GSM363150 	Liver Tumor Tissue LCS-282A
GSM363151 	Liver Tumor Tissue LCS-090A
GSM363152 	Liver Tumor Tissue LCS-151A
GSM363153 	Liver Non-Tumor Tissue LCS-253B
GSM363154 	Liver Non-Tumor Tissue LCS-279B
GSM363155 	Liver Non-Tumor Tissue LCS-008B
GSM363156 	Liver Non-Tumor Tissue LCS-172B
GSM363157 	Liver Non-Tumor Tissue LCS-049B
GSM363158 	Liver Non-Tumor Tissue LCS-291B
GSM363159 	Liver Non-Tumor Tissue LCS-061B
GSM363160 	Liver Non-Tumor Tissue LCS-156B
GSM363161 	Liver Non-Tumor Tissue LCS-282B
GSM363162 	Liver Non-Tumor Tissue LCS-090B
GSM363163 	Liver Non-Tumor Tissue LCS-151B
GSM363164 	Liver Tumor Tissue LCS-047A
GSM363165 	Liver Non-Tumor Tissue LCS-047B
GSM363166 	Liver Tumor Tissue LCS-075A
GSM363167 	Liver Non-Tumor Tissue LCS-075B
GSM363168 	Liver Tumor Tissue LCS-259A
GSM363169 	Liver Tumor Tissue LCS-010A
GSM363170 	Liver Tumor Tissue LCS-264A
GSM363171 	Liver Non-Tumor Tissue LCS-264B
GSM363172 	Liver Tumor Tissue LCS-163A
GSM363173 	Liver Non-Tumor Tissue LCS-163B
GSM363174 	Liver Tumor Tissue LCS-089A
GSM363175 	Liver Non-Tumor Tissue LCS-089B
GSM363176 	Liver Tumor Tissue LCS-143A
GSM363177 	Liver Non-Tumor Tissue LCS-143B
GSM363178 	Liver Tumor Tissue LCS-199A
GSM363179 	Liver Non-Tumor Tissue LCS-199B
GSM363180 	Liver Tumor Tissue LCS-034A
GSM363181 	Liver Non-Tumor Tissue LCS-034B
GSM363182 	Liver Tumor Tissue LCS-278A
GSM363183 	Liver Non-Tumor Tissue LCS-278B
GSM363184 	Liver Tumor Tissue LCS-119A
GSM363185 	Liver Non-Tumor Tissue LCS-119B
GSM363186 	Liver Tumor Tissue LCS-184A
GSM363187 	Liver Non-Tumor Tissue LCS-184B
GSM363188 	Liver Tumor Tissue LCS-203A
GSM363189 	Liver Non-Tumor Tissue LCS-203B
GSM363190 	Liver Tumor Tissue LCS-178A
GSM363191 	Liver Non-Tumor Tissue LCS-178B
GSM363192 	Liver Tumor Tissue LCS-284A
GSM363193 	Liver Non-Tumor Tissue LCS-284B
GSM363194 	Liver Tumor Tissue LCS-108A
GSM363195 	Liver Non-Tumor Tissue LCS-261B
GSM363196 	Liver Tumor Tissue LCS-043A
GSM363197 	Liver Non-Tumor Tissue LCS-043B
GSM363198 	Liver Tumor Tissue LCS-041A
GSM363199 	Liver Non-Tumor Tissue LCS-041B
GSM363200 	Liver Tumor Tissue LCS-044A
GSM363201 	Liver Non-Tumor Tissue LCS-044B
GSM363202 	Liver Tumor Tissue LCS-174A
GSM363203 	Liver Non-Tumor Tissue LCS-174B
GSM363204 	Liver Tumor Tissue LCS-166A
GSM363205 	Liver Tumor Tissue LCS-193A
GSM363206 	Liver Non-Tumor Tissue LCS-193B
GSM363207 	Liver Tumor Tissue LCS-215A
GSM363208 	Liver Non-Tumor Tissue LCS-215B
GSM363209 	Liver Tumor Tissue LCS-021A
GSM363210 	Liver Non-Tumor Tissue LCS-021B
GSM363211 	Liver Tumor Tissue LCS-129A
GSM363212 	Liver Non-Tumor Tissue LCS-129B
GSM363213 	Liver Tumor Tissue LCS-198A
GSM363214 	Liver Non-Tumor Tissue LCS-198B
GSM363215 	Liver Tumor Tissue LCS-084A
GSM363216 	Liver Non-Tumor Tissue LCS-084B
GSM363217 	Liver Tumor Tissue LCS-250A
GSM363218 	Liver Tumor Tissue LCS-011A
GSM363219 	Liver Non-Tumor Tissue LCS-108B
GSM363220 	Liver Tumor Tissue LCS-071A
GSM363221 	Liver Non-Tumor Tissue LCS-011B
GSM363222 	Liver Tumor Tissue LCS-219A
GSM363223 	Liver Non-Tumor Tissue LCS-219B
GSM363224 	Liver Tumor Tissue LCS-194A
GSM363225 	Liver Non-Tumor Tissue LCS-194B
GSM363226 	Liver Tumor Tissue LCS-170A
GSM363227 	Liver Non-Tumor Tissue LCS-170B
GSM363228 	Liver Tumor Tissue LCS-204A
GSM363229 	Liver Non-Tumor Tissue LCS-204B
GSM363230 	Liver Tumor Tissue LCS-261A
GSM363231 	Liver Non-Tumor Tissue LCS-071B
GSM363232 	Liver Tumor Tissue LCS-195A
GSM363233 	Liver Non-Tumor Tissue LCS-195B
GSM363234 	Liver Non-Tumor Tissue LCS-200B
GSM363235 	Liver Tumor Tissue LCS-206A
GSM363236 	Liver Non-Tumor Tissue LCS-206B
GSM363237 	Liver Tumor Tissue LCS-036A
GSM363238 	Liver Non-Tumor Tissue LCS-161B
GSM363239 	Liver Tumor Tissue LCS-145A
GSM363240 	Liver Non-Tumor Tissue LCS-145B
GSM363241 	Liver Tumor Tissue LCS-064A
GSM363242 	Liver Non-Tumor Tissue LCS-064B
GSM363243 	Liver Tumor Tissue LCS-236A
GSM363244 	Liver Non-Tumor Tissue LCS-236B
GSM363245 	Liver Tumor Tissue LCS-038A
GSM363246 	Liver Non-Tumor Tissue LCS-038B
GSM363247 	Liver Tumor Tissue LCS-270A
GSM363248 	Liver Non-Tumor Tissue LCS-270B
GSM363249 	Liver Tumor Tissue LCS-182A
GSM363250 	Liver Non-Tumor Tissue LCS-182B
GSM363251 	Liver Tumor Tissue LCS-002A
GSM363252 	Liver Non-Tumor Tissue LCS-197B
GSM363253 	Liver Non-Tumor Tissue LCS-173B
GSM363254 	Liver Non-Tumor Tissue LCS-240B
GSM363255 	Liver Non-Tumor Tissue LCS-266B
GSM363256 	Liver Non-Tumor Tissue LCS-167B
GSM363257 	Liver Non-Tumor Tissue LCS-028B
GSM363258 	Liver Non-Tumor Tissue LCS-032B
GSM363259 	Liver Non-Tumor Tissue LCS-050B
GSM363260 	Liver Non-Tumor Tissue LCS-285B
GSM363261 	Liver Non-Tumor Tissue LCS-031B
GSM363262 	Liver Non-Tumor Tissue LCS-016B
GSM363263 	Liver Tumor Tissue LCS-189A
GSM363264 	Liver Tumor Tissue LCS-277A
GSM363265 	Liver Tumor Tissue LCS-117A
GSM363266 	Liver Tumor Tissue LCS-267A
GSM363267 	Liver Tumor Tissue LCS-100A
GSM363268 	Liver Tumor Tissue LCS-228A
GSM363269 	Liver Tumor Tissue LCS-054A
GSM363270 	Liver Tumor Tissue LCS-063A
GSM363271 	Liver Tumor Tissue LCS-268A
GSM363272 	Liver Tumor Tissue LCS-222A
GSM363273 	Liver Tumor Tissue LCS-192A
GSM363274 	Liver Tumor Tissue LCS-022A
GSM363275 	Liver Tumor Tissue LCS-175A
GSM363276 	Liver Non-Tumor Tissue LCS-277B
GSM363277 	Liver Non-Tumor Tissue LCS-117B
GSM363278 	Liver Non-Tumor Tissue LCS-267B
GSM363279 	Liver Non-Tumor Tissue LCS-100B
GSM363280 	Liver Non-Tumor Tissue LCS-228B
GSM363281 	Liver Non-Tumor Tissue LCS-054B
GSM363282 	Liver Non-Tumor Tissue LCS-063B
GSM363283 	Liver Non-Tumor Tissue LCS-268B
GSM363284 	Liver Non-Tumor Tissue LCS-222B
GSM363285 	Liver Non-Tumor Tissue LCS-192B
GSM363286 	Liver Non-Tumor Tissue LCS-022B
GSM363287 	Liver Non-Tumor Tissue LCS-036B
GSM363288 	Liver Tumor Tissue LCS-025A
GSM363289 	Liver Tumor Tissue LCS-066A
GSM363290 	Liver Tumor Tissue LCS-248A
GSM363291 	Liver Tumor Tissue LCS-121A
GSM363292 	Liver Tumor Tissue LCS-027A
GSM363293 	Liver Tumor Tissue LCS-157A
GSM363294 	Liver Tumor Tissue LCS-148A
GSM363295 	Liver Tumor Tissue LCS-048A
GSM363296 	Liver Tumor Tissue LCS-012A
GSM363297 	Liver Tumor Tissue LCS-126A
GSM363298 	Liver Tumor Tissue LCS-260A
GSM363299 	Liver Non-Tumor Tissue LCS-223B
GSM363300 	Liver Non-Tumor Tissue LCS-025B
GSM363301 	Liver Non-Tumor Tissue LCS-066B
GSM363302 	Liver Non-Tumor Tissue LCS-121B
GSM363303 	Liver Non-Tumor Tissue LCS-027B
GSM363304 	Liver Non-Tumor Tissue LCS-157B
GSM363305 	Liver Non-Tumor Tissue LCS-148B
GSM363306 	Liver Non-Tumor Tissue LCS-048B
GSM363307 	Liver Non-Tumor Tissue LCS-012B
GSM363308 	Liver Non-Tumor Tissue LCS-260B
GSM363309 	Liver Tumor Tissue LCS-247A
GSM363310 	Liver Tumor Tissue LCS-088A
GSM363311 	Liver Tumor Tissue LCS-051A
GSM363312 	Liver Tumor Tissue LCS-243A
GSM363313 	Liver Tumor Tissue LCS-165A
GSM363314 	Liver Tumor Tissue LCS-208A
GSM363315 	Liver Tumor Tissue LCS-110A
GSM363316 	Liver Tumor Tissue LCS-056A
GSM363317 	Liver Tumor Tissue LCS-146A
GSM363318 	Liver Non-Tumor Tissue LCS-247B
GSM363319 	Liver Non-Tumor Tissue LCS-051B
GSM363320 	Liver Non-Tumor Tissue LCS-243B
GSM363321 	Liver Non-Tumor Tissue LCS-165B
GSM363322 	Liver Non-Tumor Tissue LCS-208B
GSM363323 	Liver Non-Tumor Tissue LCS-110B
GSM363324 	Liver Non-Tumor Tissue LCS-056B
GSM363325 	Liver Non-Tumor Tissue LCS-146B
GSM363326 	Liver Tumor Tissue LCS-147A
GSM363327 	Liver Tumor Tissue LCS-173A
GSM363328 	Liver Tumor Tissue LCS-240A
GSM363329 	Liver Tumor Tissue LCS-266A
GSM363330 	Liver Tumor Tissue LCS-167A
GSM363331 	Liver Tumor Tissue LCS-028A
GSM363332 	Liver Tumor Tissue LCS-032A
GSM363333 	Liver Tumor Tissue LCS-050A
GSM363334 	Liver Tumor Tissue LCS-285A
GSM363335 	Liver Tumor Tissue LCS-031A
GSM363336 	Liver Tumor Tissue LCS-016A
GSM363337 	Liver Tumor Tissue LCS-106A
GSM363338 	Liver Non-Tumor Tissue LCS-106B
GSM363339 	Liver Tumor Tissue LCS-107A
GSM363340 	Liver Non-Tumor Tissue LCS-107B
GSM363341 	Liver Tumor Tissue LCS-109A
GSM363342 	Liver Non-Tumor Tissue LCS-109B
GSM363343 	Liver Tumor Tissue LCS-116A
GSM363344 	Liver Tumor Tissue LCS-137A
GSM363345 	Liver Non-Tumor Tissue LCS-137B
GSM363346 	Liver Tumor Tissue LCS-138A
GSM363347 	Liver Non-Tumor Tissue LCS-138B
GSM363348 	Liver Tumor Tissue LCS-139A
GSM363349 	Liver Non-Tumor Tissue LCS-139B
GSM363350 	Liver Tumor Tissue LCS-142A
GSM363351 	Liver Non-Tumor Tissue LCS-142B
GSM363352 	Liver Tumor Tissue LCS-196A
GSM363353 	Liver Non-Tumor Tissue LCS-196B
GSM363354 	Liver Tumor Tissue LCS-207A
GSM363355 	Liver Tumor Tissue LCS-231A
GSM363356 	Liver Non-Tumor Tissue LCS-231B
GSM363357 	Liver Tumor Tissue LCS-251A
GSM363358 	Liver Tumor Tissue LCS-072A
GSM363359 	Liver Non-Tumor Tissue LCS-072B
GSM363360 	Liver Tumor Tissue LCS-263A
GSM363361 	Liver Non-Tumor Tissue LCS-263B
GSM363362 	Liver Tumor Tissue LCS-269A
GSM363363 	Liver Non-Tumor Tissue LCS-269B
GSM363364 	Liver Tumor Tissue LCS-273A
GSM363365 	Liver Non-Tumor Tissue LCS-273B
GSM363366 	Liver Tumor Tissue LCS-289A
GSM363367 	Liver Non-Tumor Tissue LCS-289B
GSM363368 	Liver Tumor Tissue LCS-290A
GSM363369 	Liver Non-Tumor Tissue LCS-290B
GSM363370 	Liver Non-Tumor Tissue LCS-093B
GSM363371 	Liver Tumor Tissue LCS-097A
GSM363372 	Liver Non-Tumor Tissue LCS-097B
GSM363373 	Liver Non-Tumor Tissue LCS-104B
GSM363374 	Liver Non-Tumor Tissue LCS-140B
GSM363375 	Liver Non-Tumor Tissue LCS-150B
GSM363376 	Liver Tumor Tissue LCS-158A
GSM363378 	Liver Tumor Tissue LCS-161A
GSM363380 	Liver Non-Tumor Tissue LCS-162B
GSM363381 	Liver Non-Tumor Tissue LCS-014B
GSM363382 	Liver Non-Tumor Tissue LCS-166B
GSM363384 	Liver Tumor Tissue LCS-172A
GSM363386 	Liver Tumor Tissue LCS-197A
GSM363388 	Liver Tumor Tissue LCS-200A
GSM363391 	Liver Tumor Tissue LCS-201A
GSM363393 	Liver Tumor Tissue LCS-216A
GSM363397 	Liver Non-Tumor Tissue LCS-216B
GSM363400 	Liver Tumor Tissue LCS-238A
GSM363402 	Liver Non-Tumor Tissue LCS-241B
GSM363404 	Liver Tumor Tissue LCS-046A
GSM363407 	Liver Non-Tumor Tissue LCS-248B
GSM363417 	Liver Non-Tumor Tissue LCS-259B
GSM363420 	Liver Tumor Tissue LCS-333A
GSM363421 	Liver Non-Tumor Tissue LCS-333B
GSM363422 	Liver Tumor Tissue LCS-339A
GSM363423 	Liver Non-Tumor Tissue LCS-339B
GSM363424 	Liver Tumor Tissue LCS-341A
GSM363425 	Liver Non-Tumor Tissue LCS-341B
GSM363426 	Liver Tumor Tissue LCS-343A
GSM363427 	Liver Non-Tumor Tissue LCS-343B
GSM363428 	Liver Tumor Tissue LCS-344A
GSM363429 	Liver Non-Tumor Tissue LCS-344B
GSM363430 	Liver Tumor Tissue LCS-346A
GSM363431 	Liver Non-Tumor Tissue LCS-346B
GSM363432 	Liver Tumor Tissue LCS-347A
GSM363433 	Liver Non-Tumor Tissue LCS-347B
GSM363434 	Liver Tumor Tissue LCS-393A
GSM363435 	Liver Non-Tumor Tissue LCS-393B
GSM363436 	Liver Tumor Tissue LCS-400A
GSM363437 	Liver Non-Tumor Tissue LCS-400B
GSM363438 	Liver Tumor Tissue LCS-401A
GSM363439 	Liver Non-Tumor Tissue LCS-401B
GSM363440 	Liver Tumor Tissue LCS-403A
GSM363441 	Liver Non-Tumor Tissue LCS-403B
GSM363442 	Liver Tumor Tissue LCS-406A
GSM363443 	Liver Non-Tumor Tissue LCS-406B
GSM363444 	Liver Tumor Tissue LCS-415A
GSM363445 	Liver Non-Tumor Tissue LCS-415B
GSM363446 	Liver Tumor Tissue LCS-424A
GSM363447 	Liver Non-Tumor Tissue LCS-424B
GSM363448 	Liver Tumor Tissue LCS-426A
GSM363449 	Liver Non-Tumor Tissue LCS-426B
GSM363450 	Liver tissue of six healthy donors Normal1
GSM363451 	Liver tissue of six healthy donors Normal2
GSM712532 	Liver Tumor Tissue X02-342A
GSM712533 	Liver Non-Tumor Tissue X02-342B
GSM712534 	Liver Tumor Tissue X02-362A
GSM712535 	Liver Non-Tumor Tissue X02-362B
GSM712536 	Liver Non-Tumor Tissue LCS-003B
GSM712537 	Liver Non-Tumor Tissue LCS-006B
GSM712538 	Liver Non-Tumor Tissue LCS-026B
GSM712539 	Liver Non-Tumor Tissue LCS-128B
GSM712540 	Liver Non-Tumor Tissue LCS-168B
GSM712541 	Liver Non-Tumor Tissue LCS-181B
GSM712542 	Liver Tumor Tissue LCS-190A
